component,explained_variance,cumulative_variance
PC173,1.8749462040602775e-15,0.999999999999991
PC174,1.3485306340013882e-15,0.9999999999999923
PC175,1.273767775651329e-15,0.9999999999999936
PC176,1.0092834112448965e-15,0.9999999999999946
PC177,9.184013866547825e-16,0.9999999999999954
PC178,8.806248675041537e-16,0.9999999999999963
PC179,6.504733643173948e-16,0.999999999999997
PC180,5.880406948500324e-16,0.9999999999999976
PC181,5.518220061910739e-16,0.9999999999999981
PC182,2.593122946163593e-16,0.9999999999999983
PC183,2.196405945881993e-16,0.9999999999999986
PC184,1.6670945261052087e-16,0.9999999999999988
PC185,1.3709330044465922e-16,0.9999999999999989
PC186,1.2521303261364963e-16,0.999999999999999
PC187,1.1729074289488241e-16,0.9999999999999991
PC188,7.672804206719596e-17,0.9999999999999992
PC189,5.572807323502822e-17,0.9999999999999993
PC190,5.2768549498873325e-17,0.9999999999999993
PC191,3.791559862444337e-17,0.9999999999999993
PC192,2.7652857809598185e-17,0.9999999999999993
PC193,2.4436349610948272e-17,0.9999999999999993
PC194,1.9738309001564662e-17,0.9999999999999993
PC195,1.6222159739290377e-17,0.9999999999999993
PC196,1.2211314814924748e-17,0.9999999999999993
PC197,9.006651692172112e-18,0.9999999999999993
PC198,4.24261826588962e-18,0.9999999999999993
PC199,1.876747880464864e-31,0.9999999999999993
